,phrase,translation
1890,пасяр,рябина
1891,сосыгйив,куст смородины
1892,сосыг,смородина
1893,тхтпилйив,голубичник
1894,от тхтпил,голубика (ягода)
1895,пилйив,куст ягоды
1896,хльйив,берёза (дерево)
1897,хль,берёза
1898,нӈкйив,лиственница (дерево)
1899,нӈк,лиственница
1900,тарыгйив,сосна (дерево)
1901,тарыг,сосна
1902,ӯльпайив,кедр (дерево)
1903,ӯльпа,кедр
1904,тыпйив,поросль тальника
1905,тып ,тальник
1906,хпйив,"древесина, годная для изготовления лодки"
1907,тӯпйив,"древесина, годная для изготовления весла"
1908,от тӯп,весло
1909,колкан,пол
1910,пвылкан,площадь в деревне
1911,ӯскан,территория городища
1912,тӯркан,озерко
1913,тӯр,озеро
1914,пумкан,место покоса
1915,толыгкан,"тоня, место, где закидывают невод"
1916,он восходит к слову кан,место
1917,трсакв,лоскутки (материи)
1918,от тр,"ткань, материя"
1919,йӣвсакв,щепки
1920,пумсакв,труха травы
1921,тагсакв,"обломки сучьев, веток"
1922,от таг,ветка
1923,нньсакв,крошка хлеба
1924,ннь,хлеб
1925,сйсакв,песчинка
1926,смсакв,чешуйка рыбы
1927,пасанкол,ящик стола
1928,сēранкакол,спичечный коробок
1929,от сēранка,спички
1930,порыгкол,бутон борщевика
1931,порыг,борщевик (съедобный)
1932,лстанкол,чехол для оселка
1933,лстан,оселок
1934,нйкол,мешочек для кремния
1935,палумкол,семейство пчёл
1936,от палум,пчела
1937,рнкол,чум
1938,норкол,жилище из брёвен
1939,нор,бревно
1940,сāскол,"шалаш, покрытый берестой"
1941,от сс,берёста
1942,пумкол,"шалаш, покрытый сеном"
1943,йӣвкол,деревянный дом
1944,хвтаскол,каменный дом
1945,от хвтас,камень
1946,  см,чешуя рыбы
1947,лотыхсакв,крошка угля
1948,лотых,уголь
1949,тӯйтсакв,снежинка
1950,пртсакв,куски доски
1951,от прт,доска
1952,лӯптасакв,мусор из листьев
1953,лӯпта,лист
1954,нпаксакв,лоскутки бумаги
1955,нирсaкв,обломки прутьев
1956,нир,прут
1957,оӈтыллув,рёберная кость
1958,оӈтыл,ребро
1959,сыслув,позвоночник
1960,нрмлув,лопаточная кость
1961,нрм,лопатка (анат.)
1962,ӯлысьлув,челюстная кость
1963,от ӯлысь,челюсть
1964,мплув,"рыба, предназначенная для кормления собак"
1965,сорыххул,филе сырка
1966,сорых,сырок (рыба)
1967,нялыкхул,филе селёдки
1968,нялык,сельдь
1969,мохсаӈхул,филе муксуна
1970,мохсаӈ,муксун
1971,сортхул,филе щуки
1972,лнхул,филе тайменя
1973,лн,таймень
1974,сымрихул,филе окуня
1975,сымри,окунь
1976,тркахул,филе ерша
1977,от трка,ёрш
1978,писъянхул,филе пыжьяна
1979,письян,пыжьян
1980,нрхул,"филе рыбы, которое едят в сыром (в замороженном или свежем) виде"
1981,супыгхул,филе осетра
1982,ксэвхул,филе сороги
1983,ксев,сорога (рыба)
1984,сыгхул,филе налима
1985,сыг,налим
1986,пиллмт,небольшое количество ягод
1987,витлмт,небольшое количество воды
1988,вйлмт,"кусок сала, жира, масла"
1989,вй,"жир, сало"
1990,пумлōмт,"пучок травы, сена, соломы"
1991,от пум,"сено, трава"
1992,нньлмт,ломтик хлеба
1993, нвльлмт,кусок мяса
1994,нвыль,мясо
1995,хӯллмт,часть косяка рыбы
1996,стаплмт,"обрывок, кусок нитки"
1997,стап,нитки
1998,сслмт,кусок берёсты
1999,сыснвльмглнвль ,изобилие мяса
2000,мгыл,грудь
2001,ӯйнвль,лосятина
2002,ӯй,нечто живое (кроме человека)
2003,слынвль,оленина
2004,лӈыннвыль,мясо белки
2005,лӈын ,белка
2006,нрнвль,"мясо, употребляемое в сыром виде"
2007,тннвль,мясо на сухожилии
2008,сёпырнвль,мясо глухаря
2009,от сёпыр,глухарь
2010,вснвль,мясо утки
2011,вс,утка
2012,лунтнвль,мясо гуся
2013,лӯнт,гусь
2014,хотаӈнвль,мясо лебедя
2015,хотаӈ,лебедь
2016,тисупнвль,мясо рябчика
2017,от тисуп,рябчик
2018,лмвойтор,накомарник
2019,нёлтор,носовой платок
2020,нёл,нос
2021,пуӈктор,букв. головной платок (для мужчины от комаров)
2022,Исключением является термин тōркӯняс,рулон ткани
2023,ӯспуӈк,глава города
2024,ӯс  ,"город, городище"
2025,пиркатапуӈк,бригадир
2026,пиркта,бригада
2027,хаснэйивпуӈк,тупой конец карандаша
2028,хаснйив,карандаш
2029,нлпуӈк,головка стрелы
2030,снспуӈк,колено
2031,снс,колени
2032,нрпуӈк,вершина горы
2033,нр,гора
2034,поӈк,голова
2035,хляси,березняк
2036,хвтаси,ельник
2037,от хвт,ель
2038,нӈкаси,лиственничник
2039,ӯльпаси,кедровник
2040,ларкаси,мелкий сосняк на болотистом месте
2041,ларка,мелкая сосна
2042,пньси,наконечник стрелы
2043,хмси,кнут
2044,храхси,грабитель
2045,кыгси,старший брат
2046,пси,младший брат
2047,мньси,самоназвание народа манси
2048,лымси,ил (в застоялой воде)
2049,каткасы,воробушек
2050,пуӈкпатта,макушка
2051,от пуӈк,голова
2052,пӯтпатта,дно котла
2053,вйпатта,подошва
2054,пуйпатта,зад
2055,лхпатта,конец дороги
2056,врпатта,самая глушь леса
2057,хппатта,дно лодки
2058,сунпатта,полозья саней
2059,сунн,нарта
2060,ныпатта,дно чашки
2061,смпатта,тёмный угол дома
2062,от  см,угол чего-либо
2063,ктпатта,ладонь
2064,лглнёл,носок ноги
2065,вйнёл,носок обуви
2066,врнёл,мыс с лесом
2067,нёл,мыс (изгиба) реки
2068,сйпӯтнёл,носик чайника
2069,от сйпут,чайник
2070,хпнёл,носовая часть лодки
2071,суннёл,нос (перед) нарты
2072,савыӈкан,кладбище
2073,сав,горе
2074,сюниӈкан,счастливое место
2075,сюниӈ,счастливый
2076,мнют,младенец
2077,янгут,старец
2078,хосут,нечто длинное
2079,смлут,нечто чёрное
2080,хӯрмсмпут,треугольник
2081,хӯрмсмп,треугольный
2082,мньуй,мошкара
2083,от мнь,маленький
2084,товлыӈуй,птица
2085,товлыӈ,крылатый
2086,лглыӈуй,зверь
2087,лглыӈ,имеющий ножкистойки
2088,ой ,крупный
2089,атыӈнянь,печенье
2090,пилыӈнянь,пирог с ягодами
2091,пилыӈ,ягодный
2092,хӯлыӈнянь,пирог с рыбой
2093,хӯлыӈ,рыбный
2094,лмыӈнянь,"лепёшка с начинкой из молотой, измельчённой черёмухи"
2095,лмыӈ,с черёмухой
2096,карсыт,высота
2097,от хоса,длинный
2098,ллит,высота
2099,ллиӈ,высокий
2100,пӈхвит,широта
2101,палыт,длина
2102,мнит,малыш
2103,яныт,величина
2104,маснут,одежда
2105,маснэ,одеваемый
2106,тнут,пища
2107,тнэ,едящий
2108,ёнгынут,игрушка
2109,ёнгын,играющий
2110,айнут,"человек, склонный пить то, что пьют или то, чем пьют"
2111,от айнэ,пьющий
2112,пувтнут,"тот, который толкает"
2113,пувтнэ,толкающий
2114,тнкол,столовая
2115,лнкол,жилище
2116,лнэ,живущий
2117,хуйнкол,спальня
2118,хуйнэ,лежащий
2119,пувлынкол,баня
2120,пувлын,купающийся
2121,ёнгынкол,клуб
2122,нарнйив,длинный шест для езды на лодке против быстрого течения
2123,нарнэ,толкающий чем-либо длинным
2124,осйив ,"специально приготовленная древесина, из которой выскабливают мягкие стружкиветошь"
2125,которой образуется слово и глагольное имя осгын ,скоблящий (стружки)
2126,коснйив,грабли
2127,коснэ,сгребающий (сено)
2128,уляктахтынйив,"гладкая, примерно двухметровой длины, палка, которую бросают по снегу на расстояние по прямой во время игровых соревнований"
2129,от уляктахтын,занимающийся бросанием названной палки во время соревнований
2130,хаснэ,пишущий
2131,хуйнэкан,постель
2132,тэнэкан,"место, где едят"
2133,хуйнэма,постель
2134,о хуйнэ,лежащий
2135,ӯнлынма,"место, предназначенное для сидения"
2136,ӯнлын,сидящий
2137,генетически восходит к слову м,земля
2138,пстыл ,"раздваивание части предмета (например, части палки, чтобы прищемить какого-либо небольшого зверя)"
2139,от пст51,"раздвоить (например, конец палки)"
2140,втыл ,собирание ягод
2141,вт,собирать (ягоды)
2142,нхпатыл,победа
2143,от нхпат,побеждать
2144,постыл,"освещение, излучение света"
2145,пост,излучать свет
2146,лпил,покрытие
2147,лп,покрыть
2148,хансыл,письмо (действие)
2149,ханс,писать
2150,мил,шагание
2151,м,идти
2152,ялыл,"хождение, путешествие"
2153,ял,ходить
2154,пилыл,боязнь
2155,хйтыл,бег
2156,хйт,бег
2157,яктыл,зарубка
2158,якт,рубить
2159,тыстыл,печаль
2160,тыст,вздыхать
2161,кквил,кашель
2162,ккв,кашлять
2163,сюртмил,"черта, линия"
2164,сюрт,провести линию или черту
2165,хартмил,кромка (пришитая к краю для прочности)
2166,харт,тянуть
2167,сартмил,"опоясок, к которому подвязывают завязки длинной меховой обуви"
2168,сарт,натирать
2169,воймил,отнимание
2170,ви,брать
2171,нтмил,шов
2172,нт,шить
2173,сагмил,шов (лодки)
2174,от саг,плести
2175,нтмил,помощь
2176,нт,помогать
2177,ххмил,подъём
2178,хӈх,подниматься на высоту
2179,мастул,одевание
2180,мас,одевать
2181,хстул,умение
2182,хс,уметь (трудиться)
2183,сустул,рассматривание
2184,сунс,смотреть
2185,вртул,действие
2186,от вр,делать
2187,хасьтул,узнавание
2188,ханьсь,узнавать
2189,мтул,походка
2190,хастул,почерк
2191,пстул,отражение
2192,псьтул,манера
2193,псь,быть позволенным
2194,сормыг,умереть
2195,тр г,дрожать
2196,тр н,доноситься (о звуке)
2197,полум,журчание
2198,пол г,журчать
2199,от мар,стать тесным
2200,от мат,состариться
2201,сюм,ручеёк (журчащий)
2202,сй г,издавать шум
2203,хулюм,место нереста язёвых пород рыб
2204,хуль,всплыть на поверхность
2205,молямл,торопиться
2206,плях,нечто смерзшееся
2207,сӯрак,недоверие
2208,сӯр,кусать (табу)
2209,хасах,всякое имущество
2210,хaс,собирать
2211,тяхаях,жадина
2212,тӈквеаюӈкве,естьпить
2213,сгр,рубить
2214,консуп,гребень
2215,конс,чесать
2216,кой,искать
2217,аюп,"человек, любящий пить"
2218,от ай,пить
2219,ӯнлуп,седалище
2220,сриврп,мухаплевок
2221,сривр,"портить, пачкать  что-либо"
2222,хпсуп,лодочка
2223,сграпсуп,топорик
2224,касайсуп,ножичек
2225,от касай,нож
2226,мнтсуп,лопаточка
2227,нысуп,"чашечка (чайная, кухонная)"
2228,пасансуп,столик
2229,улассуп,стульчик
2230,улас,стул
2231,хоссупсуп,метёлочка (из крыльев дичи)
2232,хоссуп,"маленькая метла, веер"
2233,хасапсуп,"положок, хороший полог"
2234,хасап,полог
2235,кāтсуп,ручка (рука)
2236,лглсуп,ножка
2237,писальсуп,"маленькое, хорошее ружьё"
2238,писаль,ружьё
2239,āньтсуп,огромный рог (животного)
2240,от āньт,рог
2241,ӣвcуп,"большущее бревно, огромная валежина"
2242,от йӣв,дерево
2243,поӈнасуп,большущее бревно для дров
2244,поӈна,бревно
2245,рассуп,большущее полено
2246,рас,полено
2247,мовырсуп,большущая колотушка
2248,мовыр,колотушка
2249,сырайсуп,большущая сабля
2250,нньсуп,большой кусок хлеба
2251,пӯтсов,котелочек
2252,пӯськасов,бочоночек
2253,пӯська,бочка
2254,коссумсов,коробок из бересты
2255,коссум,короб из бересты
2256,ттапсов,ящичек
2257,от ттап,ящик
2258,сульгасов,бутылочка
2259,сульга,бутылка
2260,сйпӯтсов,чайничек
2261,сйпӯт,чайник
2262,тутсяӈсов,"мешочек для рукоделия (женщины, девушки)"
2263,тутсяӈ,мешок для рукоделия
2264,осмахӯрыгсов,подушечка
2265,осмахӯрыг,подушка
2266,сахисов,женская шубка
2267,сахи,шуба
2268,вйсов,маленькие хорошие кисы
2269,пйпсов,пайба (спинной кузовок)
2270,хнтуп,способность находить
2271,хнт,найти
2272,пēрияп,выборы
2273,пēри,выбирать
2274,от лм,галдеть чуть громче шёпота
2275,с,трогать непозволенное (табу)
2276,пилаcи,трус
2277,пляси,мерзляк
2278,  от пйп,кузов
2279,свтсов,"кузовокнабирушка (берестяной кузовок, подвешиваемый на шею тесьмой)"
2280,свт,кузов
2281,Маныр пӯтсов!,Что за огромный котёл!
2282,Маныр пӯськасов!,Что за огромная бочка!
2283,пумтрс,травинка
2284,сēтаптрс,ниточка
2285,сēтап,нитка
2286,квлыгтрс,верёвочка
2287,тēлптрс,кровеносный сосуд
2288,от тēлп,кровь
2289,сстрс,кусочек бересты
2290,нтуптрс,иголочка
2291,гитрс,единственная дочурка
2292,ги,девушка
2293,нтрс,одинокая женщина
2294,Формант тāрс восходит к слову трыс,долька
2295,пилтар,небольшое количество ягоды
2296,ӯсматар,небольшое количество мерёжи
2297,ӯсма,мерёжа
2298,пумтар,небольшое количество сена или травы
2299,виттар,небольшое количество воды
2300,нйивтар,небольшое количество дров
2301,пилсам,ягодка
2302,от пил,ягода
2303,прсам,икринка
2304,нньсам,хлебная крошка
2305,сйсам,песчинка
2306,сыртэпсам,крупинка
2307,сыртэп,крупа
2308,пквсам,орешек
2309,от  пкв,шишка
2310,тӯйтсам,снежинка
2311,раквсам,капелька дождя
2312,витсам,капелька воды
2313,Формант сам восходит к слову сам,крошка
2314,тулвл,пальчик
2315,туля,палец
2316,суввл,посошок
2317,сув,посох
2318,нирвл,прутик
2319,от нир,прут
2320,товвл,веточка
2321,тов,ветка
2322,нйиввл,одна палочка дров
2323,от нйив,дрова
2324,слтвл,одна долька лыка
2325,слт,лыко
2326,палюпа,"ушко (моё, твоё)"
2327,самупа,"глазки (мои, твои)"
2328,нёлупа,"носик (мой, твой)"
2329,сӯпупа,"ротик (мой, твой)"
2330,сӯп,рот
2331,нēлмупа,"язычок (мой, твой)"
2332,нēлм,язык
2333,ктупа,"ручка (моя, твоя)"
2334,сысупа,"спинка (моя, твоя)"
2335,лглупа,"ножка (моя, твоя)"
2336,лгупа,"хвостик (мой, твой)"
2337,пуӈкупа,"головка (моя, твоя)"
2338,сахупа,"кишочки (мои, твои)"
2339,от сах,кишка
2340,сымупа,"сердечко (моё, твоё)"
2341,сым,сердце
2342,колкапай,огромный дом
2343,мискапай,крупная корова
2344,нкапай,рослая женщина
2345,товлыӈхāпкапай,большой самолёт
2346,товлыӈхāп,самолёт
2347,вркапай,огромный могущественный лес
2348,колнюр,дом и всякое другое домашнее имущество
2349,хпнюр,лодка и всё другое с ней
2350,суннюр,нарта и все другие с ней
2351,квāлыгнюр,всякая веревка
2352,нйӣвнюр,множество дров
2353,пӈкнюр,множество грязи
2354,пӈк,грязь
2355,тӯйтнюр,множество снега
2356,слнюр,большое множество оленей
2357,Мēровакве враян мтныл юв ёхтум,"Меров (милый, хороший человек) с охоты, оказывается, вернулся"
2358,Сонькатēв мирколт иӈ лусыты,"Наша (хорошая, уважаемая) Соня всё ещё служит в администрации (села)"
2359,Сӯлянатēв сāлыӈкол мāхум пуӈкыг пēрияслув,"Нашего (хорошего, уважаемого) Солянова мы выбрали главой оленеводов"
2360,Мрья Михайлвнатēв оста ёхтыгпас,"Наша (хорошая, уважаемая) Мария Михайловна опять (к нашей радости) приехала"
2361,Хпрись сома ӯнлыматэ хот та сайи,"""Бедная, жалкая) лодка стоит неопрокинутой, скоро совсем сгниёт"
2362,Āмприсюм сёпырпыганэ ёт тотыглахтыматэ врн минас,"Моя (бедная, жалкая, несчастная) собака бегая за птенцами глухаря, так и ушла в лес, заблудилась"
2363,Клярись ат ёнгалтылув,"Мы Кольку (противного, нехорошего мальчишку) не примем в игру"
2364,Сйнахрись татем св хӯл алам,"Сайнахов (такой никудышный, слабый человек), оказывается, так много рыбы поймал"
2365,Писалил пистхатам хумкверись хотталь сялтум,"Ранивший себя из ружья мужчина (бывший здоровым, счастливым, затем ставший несчастным), оказывается, уже умер"
2366,Хслх пвылквēрисюв хот та лсталавес,"Нашу (бывшую милую, хорошую) деревню Хошлог теперь уже разобрали, разрушили"
2367,Ты лхквēрись хот та пунытаӈкве патыма,"Это дорога (бывшая хорошей, а теперь становящаяся негодной) стала, оказывается, зарастать молодым лесом"
2368,гирись,девочка
2369,пгрись,мальчик
2370,ӯйрись,птичка
2371,кӯтюврись,щенок
2372,рис нёл,слабый нос
2373,рис йӣв,не прочная древесина
2374,рис,нечто слабое
2375,Āмпын ттвес! …,Собака унесла!...
2376,сунрисюм,моя бедная вызывающая жалость нарта
2377,мприсе,"его бедная, жалкая собака"
2378,пвылрисюв,наша бедная вызывающая жалость деревня
2379,мхумрисян,"твои, ваши бедные, вызывающие жалость люди"
2380,тпос,луна
2381,но т пос,ночной свет
2382,нмис,корова
2383,но н мис,корова женщина
2384,хрмис,бык
2385,но хр мис,"не корова, а бык"
2386,нйтыр,духи (перед которыми преклоняются манси)
2387,пальнёл,слух
2388,сӯпнēлм,речь
2389,нхум,всякий человек
2390,ӯйхул,животное
2391,от ӯй,нечто живое
2392,сньāсь,родители
2393,снь,мать
2394,сь,отец
2395,от вāй,кисы (до трети бедра)
2396,поӈкпатта,макушка головы
2397,товлыӈлӈын,белкалетяга
2398,лӈын,белка
2399,нвай,женская обувь
2400,костер,ноготь
2401,тēр,железо
2402,самтер,очки
2403,от товлыӈ,крылатый
2404,колпōх,стена дома
2405,вруй,зверь
2406,мнь н,молодая женщина
2407,лмнянь,"лепешка, сделанная из размолотой черёмухи"
2408,пасрйив,кустарник рябины
2409,саӈквлыпил,клюква
2410,саӈквлы,кочка (на болоте)
2411,маснсов,одежда
2412,сартнтер,пила
2413,сартнэ,пилящий
2414,Хслх  от хоса,длинный
2415,лх,лог
2416,румква,знакомая русская или коми женщина
2417,рума,друг
2418,квмква,бабушка
2419,квум,моя бабушка
2420,матмйка,старик
2421,нлув,кобыла
2422,от т,ночь
2423,турпукла,кадык
2424,тур,горло
2425,пукла,деталь застёжки
2426,нёлссам,лицо
2427,пуӈксам,вся голова
2428,  хум,мужчина
2429,гипыг,дети
2430,пг,юноша
2431,хумнврам,мальчик
2432,нврам,ребёнок
2433,квагйкаг,супруги
2434,кваг,две женщины
2435,йкаг,двое мужчин
2436,гииг пгыг,двойняшки
2437,от гииг,две девушки
2438,пгыг,двое юношей
2439,тēр лх,железная дорога
2440,рн хӯрыг,"нарядный мешок из меха, предназначенный для одежды"
2441,хӯрыг,мешок
2442,смыл самп,черноглазый
2443,витыӈ самп,мокроглазая
2444,обозначающие,разъединить  что-либо
2445,хвтасыӈ рсь,каменный берег
2446,хвтас,камень
2447,нуйыӈ вй,меховая обувь (по швам прошитая сукном для украшения и плотности шва)
2448,нуй,сукно
2449,хӯлыӈ ,рыбная река
2450,хӯл,рыба
2451,савыӈ хтпа,лентяй
2452,нвлиӈтпыӈ хтпа,упитанный человек
2453,ккыӈ пуӈк,паршивая голова
2454,со значением,попросить кого-либо делать  что-либо
2455,хоса нёлп лмвой,длинноносый комар
2456,хоса,длинный
2457,тлыӈ товпа хвт,ель с густохвойными ветвями
2458,тл,хвоя дерева
2459,хвт,ель
2460,осыӈ тӯйтуп тл,снежная зима
2461,"""осыӈ",толстый
2462,тыныӈ хвтасп туля,кольцо с драгоценным камнем
2463,выгр мпап кань,кукла с красными штанами
2464,Лов лглуп лглыӈ сунтем алы нр вылн та нёвитаве,Мою красивую любимую с десятью ножками   с ножками нарту поведут (олени) на южный конец горного хребта
2465,лов,десять
2466,лглуп,с …ножкой
2467,сунтем,"моя нарточка – красивая, любимая, хорошая"
2468,выл,"конец, край"
2469,нёвитаӈкве,"двигать, покачивая"
2470,Пхвыӈ вип виӈ колн юв та тӯлвесатем,"Ввели меня, милую, в дом с широкими дверями"
2471,"""пхвыӈ",широкий
2472,вип,с…дверью
2473,виӈ,имеющий(ая) дверь
2474,колн,в дом
2475,тӯлуӈкве,ввести
2476,Овра хумпуп хумпыӈ Āс,Обь с крутыми волнами…
2477,"""овра",крутой
2478,хумпуп,с…волнами
2479,хумпыӈ,имеющий волны
2480,Мнь хӯлпа хӯлыӈ тем…,"Моя милая река с мелкой рыбой (из которой в прошлом изготовляли юколу, топили рыбий жир – необходимый для питания в долгую суровую зиму)"
2481,"""мнь",маленький
2482,хӯлпа,с…рыбой
2483,тем,моя милая река
2484,пēлуп,быстрый
2485,пēлуӈкве,быть острым
2486,лаквуп,"ходкий (о лодке, полозьях, нарты)"
2487,лаквуӈкве,двигаться (вперёд)
2488,от вг,сила
2489,тйттл,безрукавный (об одежде)
2490,тйт,рукав
2491,вртл,безлесный
2492,от вр,лес
2493,кттл,безрукий
2494,сымтлмйттл,бессердечный
2495,нтуӈкве,быть красивым
2496,новтл,нетронутый
2497,от новуӈкве,трогать
2498,нгтл,непривязанный
2499,нгуӈкве,завязать
2500,лсьтл,не плаксивый
2501,лсь,плач
2502,роттл,неспокойный (о животном)
2503,рот,спокойный
2504,састум,гладкий
2505,састуӈкве,стать  ровным
2506,аюм,выпивший
2507,от маруӈкве,застрять (в тесноте)
2508,матуӈкве,состариться
2509,саюӈкве,гнить
2510,лӯнн,внизу (по реке)
2511,пӯйи,дальний (от берега)
2512,пӯйн,вдали от берега
2513,втииг нгуӈкве,коротко завязать
2514,хумплы ,верткая (лодка)
2515,хумп,волна
2516,туи,летний
2517,хоттьют,кто из двух или многих лиц
2518,нёвпи,"непостоянный в решениях, намерениях"
2519,нёвсуӈкве,шевелиться
2520,пӈкхарӈ,грязноватый
2521,от пӈк,грязь
2522,витхарӈ,влажноватый
2523,тӯйтхарӈ,имеющий небольшое количество снега
2524,вōтхарӈ,чуть ветреный
2525,оссамхарӈ,глуповатый
2526,пунхарӈ ,"""кожа) с небольшими крапинками шерсти"
2527,пун,шерсть
2528,тулхарӈ ,"""день) с некоторыми облачками‘ от тул ‘облако"
2529,восходящий к имени существительному пал,сторона
2530,русьпал мир,русский народ
2531,мньсипал мир,мансийский народ
2532,акв р врēгыт,Женский и мужской народ общими усилиями трудятся
2533,ёмаспал ,правая (рука)
2534,вртыпал ,левая (нога)
2535,хныпал,правая (сторона дороги)
2536,квлмпал,левая (сторона дороги)
2537,где пл значит,половина
2538,тксар,сильный
2539,восьлах,вязкий
2540,врах,"обрывистый (о береге, о горе)"
2541,молямлаӈкве,торопиться
2542,карасный исвēста ,Красная звезда (эмблема)
2543,карасный иснмя ,красное знамя
2544,касяный кол,казённый дом
2545,āтомный кāрапли,атомный корабль
2546,синий витуп срысь,с синими водами море
2547,ллькве,очень плохой
2548,ляпакве,очень близкий
2549,от ляпа,близкий
2550,ввтакве,тоненький
2551,от ввта,тонкий
2552,вгтлрись,очень слабенький
2553,Ты хори витыӈакве,Это болото слишком многоводное
2554, вта сяр ляпакве,Берег реки совсемсовсем близкий
2555,Коснйив нал втикве,Ручка у граблей очень короткая
2556,Ты сӯй пилтлрись,Этот бор совсем безягодный
2557,гмыӈкапай,очень больной
2558,витыӈкапай,слишком мокрый
2559,луньсиӈкапай,очень слюнявый
2560,луньсиӈ,слюнявый
2561,порсыӈкапай,слишком сорный
2562,порсыӈ,мусорный
2563,осыӈкапай,очень толстый
2564,пӈкыӈкапай,очень грязный
2565,от пӈкыӈ,грязный
2566,хoсакапай,очень длинный
2567,яныгкапай,очень большой
2568,карыскапай,очень высокий
2569,урумкапай,очень худой
2570,милкапай,очень глубокий
2571,мил,глубокий
2572,морихори хум ,несерьёзный человек
2573,сюмплыхмплы хум ,несерьезный человек
2574,нвсвс хтпа,"человек, говорящий нелестное о других"
2575,нвстаӈкве,сплетничать
2576,  встаӈкве,разевать рот
2577,карсморс,высокий
2578,от карыс,высокий
2579,  морс,статный
2580,самыӈпалиӈ,зрячий
2581,  паль,ухо
2582,сӯпыӈнēлмыӈ,"разговорчивый, приветливый"
2583,сампыльтл,слепой
2584,от сам,глаз
2585,наӈ хансум ловн ловрись хурипа,"Цифра десять, которую я писала, походит на красивую цифру десять, а твоя десятка – на некрасивую цифру десять"
2586,Нилытатēва хӈха лум?,Кто такой четвертый из нас?
2587,Акварисьмēн иӈыт ёхты,Один человек (бедненький) из нас троих ещё не пришёл
2588,Хӯрмум хансыслум,Я тройку  написала уже
2589,Амрисюм ул лвыльттлн,"Ты меня (бедного, вызывающего жалость) не ругай"
2590,aмкве,я (милый человек)
2591,амтем,меня (милого человека)
2592,амтēмн,мне (милому человеку)
2593,амтēмныл,от меня (милого человека)
2594,амтēмтыл,надо мной (милым человеком)
2595,мнрись,"мы (бедные, вызывающие жалость) люди"
2596,мнрисюв,"нас (бедных, вызывающих жалость) людей"
2597,мнрисювн,"нам (бедным, вызывающим жалость) людям"
2598,мнрисювныл,"от нас (бедных, вызывающих жалость) людей"
2599,мнрисювтыл,"над нами (бедными, вызывающими жалость) людьми"
2600,Тнрисēн ёт выгагув,"Их (вызывающих жалость, слабых, беспомощных) возьмём с собой"
2601,Тнанл рмыл вгыл хунь хусатырисян,"[Ты (слабый, беспомощный человек) и] тебе их просьбами (без приложения сил) не поднять с места"
2602,ловтхатуӈкве,мыться
2603,аниглахтуӈкве,целоваться
2604,номсахтуӈкве,думать
2605,масхатуӈкве,одеться
2606,масуӈкве,надеть  что-либо
2607,лпхатуӈкве,укрыться чем –либо
2608,лпуӈкве,укрыть кого-либо чем-либо
2609,сагхатуӈкве,виться
2610,сагуӈкве,заплетать  что-либо
2611,сартхатуӈкве,"намазать, натереть себя чем-либо"
2612,сартуӈкве,намазать
2613,от ловтуӈкве,мыть  что-либо
2614,тыттхатуӈкве,кормить друг друга
2615,хнтхатуӈкве,встретиться
2616,хнтуӈкве,найти
2617,лаквхатуӈкве,подкрадываться к чему-либо
2618,айтхатуӈкве,напиться (о комаре)
2619,айтуӈкве,поить кого-либо чем-либо
2620,лēӈтхатуӈкве,наткнуться на  что-либо
2621,от лēӈтуӈкве,натолкнуть  что-либо на что-то
2622,хххатуӈкве,являться переходящим
2623,хӈхуӈкве,залезать  куда-либо
2624,рххатуӈкве,перекликаться
2625,схвхатуӈкве,иметь обыкновение лягаться
2626,сӈхвуӈкве59,пинать  что-либо или кого-либо
2627,хасхатуӈкве,расписаться
2628,сусхатуӈкве,намучиться
2629,хасьгалахтуӈкве,всмотреться во  что-либо или кого-либо с целью разузнать  что-либо или кого-либо
2630,от хасьгалаӈкве,узнавать кого-либо или  что-либо рассматривая
2631,сунсыглахтуӈкве,смотреть в разные стороны
2632,от сунсыглаӈкве,рассматривать  что-либо
2633,ххталахтуӈкве,лазать по каким-либо возвышенным местам
2634,ххталаӈкве,поднимать кого-либо на время на возвышенное место
2635,хорамтахтуӈкве,украшаться
2636,хорамтаӈкве,украшать
2637,хорам,украшение
2638,ворасьлахтуӈкве,спорить
2639,воратаӈкве,проситься  куда-либо
2640,ворасьлаӈкве,слегка спорить с кем-либо
2641,пувлахтуӈкве,надуться
2642,пувлуӈкве,купаться
2643,лайхатуӈкве,"броситься на  что-либо,  куда-либо"
2644,лаēлн,"брось ты (это, то)"
2645,тртахтуӈкве,отцепиться от чего-либо
2646,тртуӈкве,отпустить
2647,ӯсьлахтуӈкве,отдыхать
2648,сунсуӈкве,смотреть
2649,косхатуӈкве,царапаться
2650,консуӈкве,царапать
2651,сьхатуӈкве,"родить ребенка (о человеке, медведе)"
2652,ньсюӈкве,иметь  что-либо
2653,эссыгхатуӈкве,хвастать
2654,сгуӈкве,хвалить
2655,хоссыгхатуӈкве,качаться
2656,от хосгуӈкве,махать
2657,поссыгхатуӈкве,"быть топким (о береге, о местности)"
2658,посгуӈкве,из под земли просачиваться (о воде)
2659,псигхатуӈкве,являться липким
2660,от псьгуӈкве,лепить  что-либо (например из глины)
2661,тиссыгхатуӈкве,друг другу свистеть
2662,тисгуӈкве,свистеть
2663,воянтахтуӈкве,защищаться
2664,воянтаӈкве,защищать
2665,хосгалтахтуӈкве,закачаться
2666,хoсгалтаӈкве,вдруг закачать  что-либо
